open,high,low,close,volume,spread,real_volume
7077.694,7081.053,7053.513,7055.528,104122,1,364417
7055.528,7080.381,7044.781,7070.977,100029,1,330331
7071.649,7072.992,7048.811,7062.245,75291,1,255933
7061.573,7072.992,7009.853,7021.271,101373,1,376680
7021.271,7038.064,7017.241,7024.63,63970,1,255024
7025.302,7032.69,7004.479,7011.868,45530,1,195188
7011.868,7012.539,6990.373,6997.09,14738,1,65575
7020.6,7060.23,7009.853,7038.064,220224,1,642662
7038.064,7041.422,6994.403,7020.6,201859,1,672371
7020.6,7049.483,7012.539,7030.675,141288,1,473652
7031.347,7042.094,7015.898,7021.943,95215,1,345576
7021.271,7039.407,7016.569,7037.392,66529,1,239845
7037.392,7044.109,7023.958,7033.362,54827,1,198106
7033.362,7055.528,7032.019,7054.185,63956,1,259958
7054.185,7059.558,7039.407,7042.094,54509,1,207158
7041.422,7044.109,7020.6,7028.66,42284,1,149273
7028.66,7030.675,7011.196,7012.539,9398,1,41316
7015.226,7027.988,6990.373,6997.762,223184,1,627234
6997.762,7003.807,6942.011,6952.758,196749,1,663282
6952.758,6962.162,6910.441,6913.128,138368,1,480330
6912.456,6913.128,6887.603,6888.275,123681,1,491110
6888.275,6900.366,6880.886,6884.916,81411,1,297414
6884.916,6913.8,6884.916,6902.381,74139,1,268997
6902.381,6910.441,6888.947,6907.083,76488,1,291048
6906.411,6916.486,6897.679,6902.381,51059,1,199195
6903.052,6960.818,6889.618,6928.577,82873,1,318454
6928.577,6939.996,6917.158,6923.203,12837,1,47834
6917.158,6936.637,6884.245,6932.607,202228,1,582388
6932.607,6958.132,6907.754,6949.4,187636,1,603530
6949.4,6953.43,6921.188,6940.667,128301,1,415406
6941.339,6964.849,6935.966,6948.056,108603,1,382495
6948.728,6957.46,6923.203,6933.95,78217,1,274248
6934.622,6948.728,6926.562,6945.369,57125,1,202696
6946.041,6946.041,6880.886,6886.26,98094,1,352967
6886.26,6896.335,6873.498,6884.245,61819,1,215092
6884.245,6909.098,6883.573,6890.962,51487,1,182871
6890.962,6937.309,6888.947,6930.592,13363,1,53109
6945.369,6945.369,6889.618,6891.633,179392,1,536989
6891.633,6899.022,6834.539,6853.347,192401,1,642211
6853.347,6868.796,6842.599,6864.094,109815,1,378472
6864.094,6870.811,6804.313,6813.716,131070,1,466193
6814.388,6817.747,6794.237,6814.388,92778,1,377496
6813.716,6820.433,6797.596,6809.686,78948,1,293277
6809.686,6843.943,6808.343,6824.464,89721,1,326830
6825.135,6884.245,6811.03,6882.23,97868,1,373856
6882.23,6902.381,6848.645,6860.064,119476,1,502719
6860.735,6876.856,6841.928,6850.66,15364,1,58239
6880.215,6890.29,6832.524,6849.988,257724,1,716833
6850.66,6874.841,6844.615,6866.109,157895,1,502042
6864.765,6866.109,6827.822,6847.301,153153,1,491599
6846.63,6849.988,6801.626,6801.626,128450,1,436917
6801.626,6838.569,6801.626,6827.15,88375,1,299417
6826.479,6878.871,6825.807,6876.184,107423,1,372311
6876.184,6883.573,6855.362,6877.528,90937,1,323513
