ema_9,sma_20,sma_200,dist_sma_20,dist_sma_200,volume,rsi,band_width,atr_norm,target
0.0,0.0107018780591428,0.03718430829538755,0.0,0.0,247465,50.0,0.0,0.006428116194731014,2
-0.0027365124699462173,0.0107018780591428,0.03718430829538755,0.0,0.0,196933,50.0,0.0,0.006428116194731014,1
-0.00710037334507263,0.0107018780591428,0.03718430829538755,0.0,0.0,154054,50.0,0.0,0.006428116194731014,1
-0.0040714026768114975,0.0107018780591428,0.03718430829538755,0.0,0.0,121478,50.0,0.0,0.006428116194731014,1
0.0009459401807514478,0.0107018780591428,0.03718430829538755,0.0,0.0,110821,50.0,0.0,0.006428116194731014,1
-0.0031519590880991766,0.0107018780591428,0.03718430829538755,0.0,0.0,109677,50.0,0.0,0.006428116194731014,1
-0.004134079618810738,0.0107018780591428,0.03718430829538755,0.0,0.0,119332,50.0,0.0,0.006428116194731014,1
-0.003600080997565147,0.0107018780591428,0.03718430829538755,0.0,0.0,67966,50.0,0.0,0.006428116194731014,0
-0.0015595509817878384,0.0107018780591428,0.03718430829538755,0.0,0.0,47083,50.0,0.0,0.006428116194731014,0
0.0005205189529535748,0.0107018780591428,0.03718430829538755,0.0,0.0,13402,50.0,0.0,0.006428116194731014,0
0.002934303198899091,0.0107018780591428,0.03718430829538755,0.0,0.0,220903,50.0,0.0,0.006428116194731014,0
0.0019022910280648286,0.0107018780591428,0.03718430829538755,0.0,0.0,214315,50.0,0.0,0.006428116194731014,0
0.0035280175486209764,0.0107018780591428,0.03718430829538755,0.0,0.0,135040,50.0,0.0,0.006428116194731014,0
0.007614088078507386,0.0107018780591428,0.03718430829538755,0.0,0.0,153287,43.4483443617881,0.0,0.006428116194731014,1
0.008730990760557056,0.0107018780591428,0.03718430829538755,0.0,0.0,99620,40.21282935612298,0.0,0.0058610600945427135,1
0.007664925472658846,0.0107018780591428,0.03718430829538755,0.0,0.0,141724,34.38905180840652,0.0,0.005725528595803788,1
0.0024499031771807456,0.0107018780591428,0.03718430829538755,0.0,0.0,88551,31.603821651574762,0.0,0.00553292262808377,0
0.006243631278399553,0.0107018780591428,0.03718430829538755,0.0,0.0,93214,29.194040508958736,0.0,0.005569168755618591,0
0.006052446801670941,0.0107018780591428,0.03718430829538755,0.0,0.0,64547,32.21163316249972,0.0,0.005408921737079801,0
0.0037860038258812345,0.0107018780591428,0.03718430829538755,-0.01070187805914279,0.0,12486,25.19897882564959,0.029795851538240554,0.005013584245709641,0
0.0070372049966855865,0.014984045360259657,0.03718430829538755,-0.014984045360259565,0.0,286463,17.892276793865136,0.03289544705421127,0.005280785603265657,1
0.006313121718342973,0.014864683058344985,0.03718430829538755,-0.014864683058345027,0.0,175869,16.707130102270924,0.035527397727711726,0.005561300131292802,1
0.008250365316337271,0.0173985510965331,0.03718430829538755,-0.017398551096533002,0.0,158232,15.789563403042479,0.0376779263496871,0.005853779643436853,2
0.005380843401870283,0.014542256916703966,0.03718430829538755,-0.014542256916703977,0.0,134931,19.813574861778605,0.038864460197571046,0.005973160267623055,2
0.0017289253936989546,0.010407858664828629,0.03718430829538755,-0.010407858664828707,0.0,113253,27.738977929812876,0.03964120666700054,0.005947305709686148,2
0.0010059105055857387,0.008821330166750574,0.03718430829538755,-0.008821330166750498,0.0,76898,27.57019430926576,0.038874091604288126,0.00577640068669676,2
-0.0006251749238931348,0.005896981394401202,0.03718430829538755,-0.005896981394401272,0.0,73247,32.61914474734397,0.036553792781068,0.0057056809286688106,1
-0.003046590755405809,0.001714222669952692,0.03718430829538755,-0.0017142226699525863,0.0,103757,43.84629195970483,0.033007892470013456,0.005520227202046667,1
