open,high,low,close,volume,spread,real_volume,ema_9,sma_20,sma_200,rsi,sma_20_bb,std_20_bb,upper_band,lower_band,band_width,dist_sma_20,dist_sma_200,true_range,atr,atr_norm
7290.539,7293.224,7204.626,7235.501,247465,1,711623,0.0,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,88.59799999999996,46.264714285714426,0.006428116194731014
7236.172,7284.499,7235.501,7260.336,196933,1,578437,-0.0027365124699462173,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,48.99799999999959,46.264714285714426,0.006428116194731014
7260.336,7316.045,7257.651,7305.306,154054,1,487813,-0.00710037334507263,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,58.39400000000023,46.264714285714426,0.006428116194731014
7304.635,7329.469,7285.841,7290.539,121478,1,391042,-0.0040714026768114975,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,43.6279999999997,46.264714285714426,0.006428116194731014
7291.211,7293.224,7249.596,7252.281,110821,1,353473,0.0009459401807514478,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,43.62800000000061,46.264714285714426,0.006428116194731014
7252.952,7309.333,7251.61,7287.855,109677,1,347707,-0.0031519590880991766,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,57.722999999999956,46.264714285714426,0.006428116194731014
7288.526,7314.031,7267.047,7302.621,119332,1,377880,-0.004134079618810738,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,46.98400000000038,46.264714285714426,0.006428116194731014
7301.95,7308.662,7290.539,7305.306,67966,1,220410,-0.003600080997565147,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,18.123000000000502,46.264714285714426,0.006428116194731014
7305.306,7314.031,7290.539,7293.224,47083,1,150559,-0.0015595509817878384,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,23.49200000000019,46.264714285714426,0.006428116194731014
7292.553,7296.58,7267.047,7277.115,13402,1,46647,0.0005205189529535748,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,29.533000000000357,46.264714285714426,0.006428116194731014
7238.186,7272.417,7225.433,7254.295,220903,1,600928,0.002934303198899091,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,51.68199999999979,46.264714285714426,0.006428116194731014
7254.295,7283.156,7243.556,7258.322,214315,1,622908,0.0019022910280648286,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,39.600000000000364,46.264714285714426,0.006428116194731014
7258.993,7269.061,7238.186,7240.2,135040,1,470216,0.0035280175486209764,0.0107018780591428,0.03718430829538755,50.0,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,30.875,46.264714285714426,0.006428116194731014
7240.2,7256.308,7189.86,7197.243,153287,1,553057,0.007614088078507386,0.0107018780591428,0.03718430829538755,43.4483443617881,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,66.44800000000032,46.264714285714426,0.006428116194731014
7197.243,7200.599,7171.066,7173.751,99620,1,341906,0.008730990760557056,0.0107018780591428,0.03718430829538755,40.21282935612298,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,29.533000000000357,42.045785714285884,0.0058610600945427135
7173.751,7184.49,7149.588,7167.71,141724,1,482598,0.007664925472658846,0.0107018780591428,0.03718430829538755,34.38905180840652,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,34.902000000000044,41.03892857142877,0.005725528595803788
7168.382,7208.653,7167.039,7200.599,88551,1,283474,0.0024499031771807456,0.0107018780591428,0.03718430829538755,31.603821651574762,7238.991499999999,53.922979005146345,7346.837458010292,7131.1455419897065,0.0,0.0,0.0,41.61400000000049,39.840357142857364,0.00553292262808377
