episode,reward,steps,epsilon,nav,reward_ma_10,reward_ma_100,nav_ma_10,nav_ma_100
1,-1.8106749515434148,251,1.0,0.1635437154592027,-1.8106749515434148,-1.8106749515434148,0.1635437154592027,0.1635437154592027
2,-1.600681742618612,251,0.99604,0.2017589234411536,-1.7056783470810135,-1.7056783470810135,0.1826513194501782,0.1826513194501782
3,-1.712474685634153,251,0.99208,0.1804187599991596,-1.7079437932653931,-1.7079437932653931,0.1819071329665053,0.1819071329665053
4,-1.754792918599258,251,0.98812,0.1729430518732697,-1.7196560745988596,-1.7196560745988596,0.1796661126931964,0.1796661126931964
5,-1.893464311117988,251,0.98416,0.1505493545839591,-1.7544177219026853,-1.7544177219026853,0.1738427610713489,0.1738427610713489
6,-1.6338106226431983,251,0.9802000000000002,0.1951843811815599,-1.7343165386927708,-1.7343165386927708,0.1773996977563841,0.1773996977563841
7,-1.6650493485806184,251,0.9762400000000002,0.1891813219219066,-1.724421225819606,-1.724421225819606,0.1790827869228873,0.1790827869228873
8,-1.3630892608295064,251,0.9722800000000004,0.2558691083338806,-1.6792547301958436,-1.6792547301958436,0.1886810770992615,0.1886810770992615
9,-1.6083826600367002,251,0.9683200000000004,0.2002111618744219,-1.6713800557337166,-1.6713800557337166,0.1899621976298348,0.1899621976298348
10,-1.708000550139995,251,0.9643600000000004,0.1812277864745352,-1.6750421051743445,-1.6750421051743445,0.1890887565143049,0.1890887565143049
11,-1.5692406670902257,251,0.9604000000000004,0.2082032179039063,-1.6508986767290257,-1.665423792621243,0.1935547067587752,0.1908264348224505
12,-1.5886957827236343,251,0.9564400000000004,0.2041917485525239,-1.6497000807395277,-1.659029791796442,0.1937979892699123,0.1919402109666232
13,-1.733241310854312,251,0.9524800000000004,0.1767107063656835,-1.6517767432615436,-1.664738370185509,0.1934271839065647,0.1907687106127048
14,-1.7190295784295155,251,0.9485200000000004,0.1792400019061596,-1.6482004092445697,-1.6686163136315095,0.1940568789098537,0.1899452314193802
15,-1.634940364722745,251,0.9445600000000004,0.1949639976845641,-1.6223480146050453,-1.6663712503709252,0.1984983432199142,0.1902798158370591
16,-1.8868787930893225,251,0.9406000000000004,0.1515440718420016,-1.6476548316496575,-1.680152971790825,0.1941343122859583,0.187858831837368
17,-1.6247405267673103,251,0.9366400000000006,0.1969627751423597,-1.643623949468327,-1.6768934162012064,0.1949124576080037,0.1883943579141322
18,-1.5182227326864115,251,0.9326800000000006,0.2191009420650473,-1.6591372966540174,-1.6680783782281623,0.1912356409811203,0.1901002792558497
