episode,reward,steps,epsilon,nav,reward_ma_10,reward_ma_100,nav_ma_10,nav_ma_100
1,-3.76366907408261,564,1.0,0.02319846713911401,-3.76366907408261,-3.76366907408261,0.02319846713911401,0.02319846713911401
2,-3.974366457440402,564,0.99604,0.018791202750998943,-3.869017765761506,-3.869017765761506,0.020994834945056474,0.020994834945056474
3,-4.027912880976157,564,0.9920800000000001,0.01781146583586444,-3.92198280416639,-3.92198280416639,0.01993371190865913,0.01993371190865913
4,-3.5730545056875695,564,0.9881200000000001,0.02806998267859152,-3.8347507295466845,-3.8347507295466845,0.021967779601142226,0.021967779601142226
5,-3.5832401450334905,564,0.9841600000000001,0.027785523119142168,-3.784448612644046,-3.784448612644046,0.023131328304742217,0.023131328304742217
6,-3.8873982117717936,564,0.9802000000000002,0.020498609758995444,-3.801606879165337,-3.801606879165337,0.022692541880451087,0.022692541880451087
7,-3.781849022412197,564,0.9762400000000002,0.02278053074717243,-3.798784328200603,-3.798784328200603,0.022705111718554136,0.022705111718554136
8,-3.8900073291196735,564,0.9722800000000003,0.02044519619209901,-3.8101872033154867,-3.8101872033154867,0.022422622277747245,0.022422622277747245
9,-3.5754406194964483,564,0.9683200000000003,0.02800308435056,-3.784104249557816,-3.784104249557816,0.023042673619170884,0.023042673619170884
10,-3.8500104791142777,564,0.9643600000000003,0.021279513446755622,-3.7906948725134617,-3.7906948725134617,0.022866357601929357,0.022866357601929357
11,-3.4739988082320705,564,0.9604000000000004,0.030992848079339035,-3.761727845928408,-3.7619043212151535,0.023645795695951863,0.023605129463512054
12,-3.5754049560150647,564,0.9564400000000004,0.028004083055845994,-3.7218316957858746,-3.7463627074484798,0.024567083726436564,0.023971708929539884
13,-3.639136369676718,564,0.9524800000000004,0.026275026079064654,-3.68295404465593,-3.7381145276198824,0.02541343975075659,0.02414888717181102
14,-3.71104485411934,564,0.9485200000000005,0.024451961187281265,-3.696753079499108,-3.736180979512701,0.025051637601625563,0.024170535315773182
15,-3.5556707832726695,564,0.9445600000000005,0.028562209436737682,-3.6939961433230253,-3.724146966430032,0.025129306233385114,0.024463313590504146
16,-3.7360175095291814,564,0.9406000000000005,0.023848892243755426,-3.678858073098764,-3.724888875373729,0.02546433448186111,0.02442491225633235
17,-3.4918423797132387,564,0.9366400000000006,0.030444729716833308,-3.6498574088288676,-3.711180257981935,0.026230754378827197,0.024779019165773585
18,-3.7166884875627275,564,0.9326800000000006,0.02431435195464648,-3.6325255246731745,-3.7114862707364242,0.026617669955081948,0.02475320432071097
19,-3.738619106492107,564,0.9287200000000007,0.023786927676489555,-3.6488433733727392,-3.7129143147235655,0.0261960542876749,0.02470234765522563
20,-3.6948107031801323,564,0.9247600000000007,0.024852157651661107,-3.6333233957793247,-3.712009134146393,0.026553318708165453,0.024709838155047403
21,-3.3558980699639975,564,0.9208000000000007,0.03487803317146557,-3.6215133219525177,-3.6950514644234222,0.0269418372173781,0.02519403791773398
22,-3.64695431370832,564,0.9168400000000008,0.02607041027537996,-3.6286682577218428,-3.6928652303000082,0.0267484699393315,0.02523387302489971
23,-3.6479002423438387,564,0.9128800000000008,0.02604576118773766,-3.629544644988555,-3.690910230823653,0.026725543450198803,0.025269172510240488
24,-3.7735310738095746,564,0.9089200000000008,0.022970808293412925,-3.6357932669575788,-3.6943527659480666,0.026577428160811968,0.02517340733453934
25,-3.7454913457057577,564,0.9049600000000009,0.023624018635439666,-3.6547753232008873,-3.6963983091383743,0.02608360908068217,0.025111431786575357
26,-3.361382782726632,564,0.9010000000000009,0.03468726082180058,-3.6173118505206325,-3.6835130965840763,0.02716744593848668,0.025479732903314786
27,-3.4627204131105542,564,0.897040000000001,0.03134437627661618,-3.6143996538603638,-3.675335589788761,0.02725741059446497,0.025696941917140764
28,-3.7051780029483687,564,0.893080000000001,0.024595838846122806,-3.6132486053989283,-3.676401390258747,0.027285559283612603,0.025657616807461554
29,-3.4825572939706375,564,0.889120000000001,0.03072872807687093,-3.5876424241467815,-3.669717111076398,0.027979739323650738,0.025832482713303254
30,-3.7664979196998516,564,0.8851600000000011,0.023132934990887068,-3.5948111457987535,-3.6729431380305133,0.027807817057573337,0.025742497789222715
31,-3.4849136648977375,564,0.8812000000000011,0.030656405038820327,-3.607712705292127,-3.6668776711552624,0.02738565424430881,0.025901010926306506
32,-3.7610491932390984,564,0.8772400000000011,0.023259324042879802,-3.619122193245205,-3.6698205312203824,0.027104545621058795,0.025818458211199425
33,-3.6354521766813734,564,0.8732800000000012,0.0263720068844039,-3.617877386678958,-3.6687790659313215,0.027137170190725417,0.02583523241341774
34,-3.6420117711365467,564,0.8693200000000012,0.026199583346770743,-3.6047254564116558,-3.6679917925550045,0.027460047696061203,0.025845948617339888
35,-3.8296163851903215,564,0.8653600000000012,0.021717945357517962,-3.6131379603601124,-3.6726096380588706,0.027269440368269032,0.02572800566705926
36,-3.76598910502431,564,0.8614000000000013,0.023144708362676805,-3.65359859258988,-3.675203512141244,0.026115185122356655,0.025656247408604192
37,-3.581246898512843,564,0.8574400000000013,0.027840961749497368,-3.6654512411301092,-3.6726641442053416,0.025764843669644773,0.025715293742141845
38,-3.6528796193063426,564,0.8534800000000013,0.025916391881081673,-3.660221402765907,-3.6721434988132624,0.02589689897314066,0.02572058579842974
39,-3.652472600640095,564,0.8495200000000014,0.025926942483339432,-3.677212933432852,-3.6716391168088225,0.025416720413787508,0.025725876995478705
40,-3.831982946489146,564,0.8455600000000014,0.021666609277494465,-3.6837614361117814,-3.6756477125508304,0.025270087842448247,0.025624395302529097
41,-3.7839865249684554,564,0.8416000000000015,0.022731889308586953,-3.713668722118854,-3.6782901226097966,0.02447763626942491,0.025553846375847584
42,-3.5509439716796543,564,0.8376400000000015,0.0286975372018839,-3.6926581999629087,-3.6752580713971743,0.02502145758532532,0.025628696157419875
43,-3.3252581847984515,564,0.8336800000000015,0.035963232394775536,-3.661638800774617,-3.6671185391506924,0.025980580136362487,0.025869034209451403
44,-3.5641131052097124,564,0.8297200000000016,0.02832209306543937,-3.6538489341819327,-3.6647775065611246,0.02619283110822935,0.025924785547087492
